"Date","Hour ID","Hour Label","Advertiser ID","Advertiser Label","Campaign ID","Campaign Label","Creative ID","Creative Label","Impressions Analyzed (unfiltered)","Impressions Analyzed (filtered for GIVT)","Impressions Analyzed","Human and Viewable Rate","Human and AVOC Rate","Human, Audible & Fully On-Screen for Half of Duration (15 sec. cap) Rate","Averaged Ad Length (sec)","% of Video Played In-View","In-View Time (sec)","Exposure Time (sec)","Reached Complete Rate","Completion Quality"
"2017-02-18","09","","2192726405","Ace","743518472","Ace - NSP Menjurje - Feb17","161113984266","Máxima blancura solo con Ace","1256","1194","1190","92.50%","27.81%","38.10%","30.03","51.91%","15.72","16677.65","30.95%","89.86%"
"2017-02-02","07","","8411425232","Old Spice Perú YT IO 22232","690880549","IO22232_PE_Old Spice_Citron_GO_YT_November_CPV_H18-34_FY1617_InStream_OSG Brandlift","132290166237","Machu Pichu","1189","1189","1189","93.66%","20.24%","33.54%","22.81","49.11%","11","11859.39","21.98%","92.09%"
"2017-02-22","16","","1162470087","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","1245","1195","1189","87.92%","34.58%","46.66%","15.05","65.25%","9.84","9958.65","44.31%","78.04%"
"2017-02-06","00","","7313193630","Pantene","743865246","Pantene - Colossus - Feb17","159601437509","Nueva fórmula Pro-Vitaminas de Pantene","1264","1214","1188","86.97%","23.76%","29.96%","25.05","49.56%","12.33","12099.33","32.62%","72.83%"
"2017-02-10","10","","8411425232","Old Spice Perú YT IO 22232","731224205","IO22232_PE_Old Spice_Citron_GO_YT_Jan-Jun_CPV_POME_FY1617_InStream_Machu Pichu","154497041909","Machu Pichu","1251","1194","1188","89.25%","15.95%","25.99%","22.61","44.98%","10.12","10247.2","20.26%","78.70%"
"2017-02-08","11","","8411425232","Old Spice Perú YT IO 22232","690889621","IO22232_PE_Old Spice_Citron_GO_YT_November_CPV_H18-34_FY1617_InStream_OSG Remarketing","153174436548","Brazo","1229","1192","1188","85.51%","16.91%","23.35%","25.03","44.03%","11.04","10550.86","23.26%","72.69%"
"2017-02-22","08","","2192726405","Ace","743518472","Ace - NSP Menjurje - Feb17","161113984266","Máxima blancura solo con Ace","1276","1194","1187","94.02%","22.76%","33.83%","30.04","47.50%","14.31","15311.4","25.40%","89.62%"
"2017-02-13","13","","9155314220","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","1270","1186","1184","89.64%","29.32%","38.54%","18.62","57.97%","10.68","10901.87","36.26%","80.87%"
"2017-02-03","02","","8916876391","Gillette","744262231","Gillette_Barza_Feb17","147214178592","Gillette Mach3 Turbo","1183","1183","1183","92.09%","41.04%","56.43%","15.88","70.41%","11.04","11691.47","45.91%","89.39%"
"2017-02-01","16","","131904867","Pantene","743865246","Pantene - Colossus - Feb17","159601437509","Nueva fórmula Pro-Vitaminas de Pantene","1252","1189","1183","86.84%","23.41%","28.45%","25.08","48.28%","12.11","11908.46","32.42%","72.21%"
