"Date","Hour ID","Hour Label","Advertiser ID","Advertiser Label","Campaign ID","Campaign Label","Creative ID","Creative Label","Impressions Analyzed (unfiltered)","Impressions Analyzed (filtered for GIVT)","Impressions Analyzed","Human and Viewable Rate","Human and AVOC Rate","Human, Audible & Fully On-Screen for Half of Duration (15 sec. cap) Rate","Averaged Ad Length (sec)","% of Video Played In-View","In-View Time (sec)","Exposure Time (sec)","Reached Complete Rate","Completion Quality"
"2017-02-01","17","","195605935","Gillette","744262231","Gillette_Barza_Feb17","147214178592","Gillette Mach3 Turbo","72001","69487","68212","87.15%","23.96%","36.33%","15.85","58.32%","9.23","527357.56","32.71%","73.26%"
"2017-02-23","22","","8916876391","Gillette","759878604","Gillette_PB3_Feb17","171057537529","Gillette Prestobarba3","49700","45701","45494","87.32%","30.77%","40.25%","20.01","59.58%","11.94","457718.37","39.40%","78.10%"
"2017-02-01","18","","145299609","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","45661","43324","42747","86.96%","26.31%","37.07%","15.05","59.28%","8.86","313059.15","34.79%","75.63%"
"2017-02-01","19","","145299609","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","42129","39897","39676","88.00%","26.38%","37.28%","15.07","59.18%","8.89","296105.66","34.60%","76.26%"
"2017-02-20","11","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","39521","37845","37746","90.72%","26.98%","41.91%","15.04","60.79%","9.03","300678.53","33.33%","80.95%"
"2017-02-20","12","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","37158","35579","35489","90.58%","25.90%","40.92%","15.04","60.48%","9.06","283291.47","32.20%","80.42%"
"2017-02-01","18","","195606139","Oral B","743860470","Oral B - 3DW Concierto - Feb17","170597209600","Oral B 3D White","36947","35082","34946","88.16%","26.10%","38.36%","15.07","60.04%","8.99","265810.32","34.91%","74.76%"
"2017-02-01","18","","195605935","Gillette","744262231","Gillette_Barza_Feb17","147214178592","Gillette Mach3 Turbo","35078","33459","33317","87.55%","23.44%","36.50%","15.85","58.00%","9.14","255748.82","31.75%","73.81%"
"2017-02-20","10","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","33723","32119","32012","90.48%","28.52%","43.23%","15.05","62.07%","9.31","262049.84","35.00%","81.48%"
"2017-02-01","17","","195606139","Oral B","743860470","Oral B - 3DW Concierto - Feb17","170597209600","Oral B 3D White","32983","31926","31515","88.79%","27.77%","39.05%","15.05","61.02%","9.16","245629.59","36.16%","76.80%"
"2017-02-23","21","","8916876391","Gillette","759878604","Gillette_PB3_Feb17","171057537529","Gillette Prestobarba3","28236","27043","26963","86.93%","29.99%","39.51%","20.01","59.47%","11.94","271752.61","38.82%","77.27%"
"2017-02-02","00","","8916876391","Gillette","744262231","Gillette_Barza_Feb17","147214178592","Gillette Mach3 Turbo","26410","26410","26410","89.35%","26.71%","40.98%","15.9","60.35%","9.47","215816.09","33.38%","80.01%"
"2017-02-01","20","","145299609","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","25944","24630","24300","88.29%","25.97%","37.46%","15.04","59.09%","8.81","179976.81","33.84%","76.73%"
"2017-02-02","10","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","24190","24190","24190","89.80%","26.44%","36.47%","20.07","54.84%","10.75","223483.21","32.78%","80.64%"
"2017-02-02","11","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","23267","23267","23267","89.57%","26.98%","36.73%","20.07","54.96%","10.8","215775.86","33.62%","80.25%"
"2017-02-20","09","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","22675","21675","21619","91.22%","29.46%","43.72%","15.05","62.54%","9.4","179857.98","35.77%","82.36%"
"2017-02-02","09","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","21479","21479","21479","90.52%","27.59%","37.34%","20.09","55.35%","10.9","202766.11","33.50%","82.36%"
"2017-02-01","20","","139854375","Ariel","743523536","Ariel_Reto del ahorro_Feb17","153830640701","Reto del ahorro Ariel","22425","21467","21233","89.28%","26.21%","34.54%","21.76","53.19%","11.48","206050.92","32.93%","79.59%"
"2017-02-01","19","","139854375","Ariel","743523536","Ariel_Reto del ahorro_Feb17","153830640701","Reto del ahorro Ariel","21734","20694","20573","88.65%","26.78%","34.05%","21.75","53.38%","11.55","199441.87","34.21%","78.28%"
"2017-02-01","18","","139854375","Ariel","743523536","Ariel_Reto del ahorro_Feb17","153830640701","Reto del ahorro Ariel","21734","20816","20495","87.03%","26.27%","33.09%","21.75","53.22%","11.48","193859.41","35.00%","75.07%"
"2017-02-02","12","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","20256","20256","20256","89.65%","27.89%","37.66%","20.08","55.61%","10.97","191441.61","33.78%","82.56%"
"2017-02-01","21","","112232052","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","20855","19944","19756","90.88%","25.02%","33.83%","18.75","54.33%","10.07","172553.75","30.42%","82.24%"
"2017-02-24","00","","8916876391","Gillette","759878604","Gillette_PB3_Feb17","171057537529","Gillette Prestobarba3","20716","19511","19431","89.03%","34.07%","43.48%","20.02","62.23%","12.43","209229.45","42.02%","81.08%"
"2017-02-01","20","","112232052","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","20180","19358","19184","90.69%","24.95%","33.62%","18.69","54.22%","10.03","166345.85","30.61%","81.50%"
"2017-02-01","18","","112232052","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","19947","19173","18882","88.94%","23.58%","31.35%","18.67","53.27%","9.85","157608.9","30.50%","77.32%"
"2017-02-02","11","","2192726405","Ace","743518472","Ace - NSP Menjurje - Feb17","161113984266","Máxima blancura solo con Ace","17847","17847","17847","91.03%","25.76%","37.58%","30.05","50.73%","14.85","230943.44","30.01%","85.82%"
"2017-02-02","10","","2192726405","Ace","743518472","Ace - NSP Menjurje - Feb17","161113984266","Máxima blancura solo con Ace","17809","17809","17809","92.02%","26.21%","38.10%","30.04","51.11%","14.94","234572.09","29.93%","87.58%"
"2017-02-27","12","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","18932","17834","17769","90.39%","29.83%","43.09%","15.06","62.51%","9.45","146958.17","36.29%","82.18%"
"2017-02-01","19","","112232052","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","18262","17541","17452","90.56%","23.99%","32.58%","18.68","53.53%","9.93","149765.96","29.80%","80.51%"
"2017-02-02","10","","7216555334","Ariel","743523536","Ariel_Reto del ahorro_Feb17","153830640701","Reto del ahorro Ariel","17414","17414","17414","87.57%","24.18%","34.12%","21.75","52.17%","11.09","160400.41","31.38%","77.03%"
"2017-02-27","11","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","18253","17276","17226","90.11%","30.59%","43.99%","15.07","63.23%","9.57","144344.76","37.38%","81.85%"
"2017-02-02","12","","9155314220","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","16679","16679","16679","89.48%","29.71%","39.76%","18.68","57.94%","10.61","151924.14","35.83%","82.94%"
"2017-02-21","15","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","17326","16688","16655","90.35%","25.78%","41.02%","15.05","60.39%","9.02","132102.92","32.13%","80.25%"
"2017-02-20","11","","7313193630","Pantene","755691589","Pantene - 3MM Selena+Tag - Feb17","150366603992","Nuevo acondicionador 3 Minutes Miracle de Pantene","17889","16645","16564","87.40%","28.61%","34.79%","25.07","52.12%","12.95","179562.45","36.50%","78.38%"
"2017-02-01","07","","131904867","Pantene","743865246","Pantene - Colossus - Feb17","159601437509","Nueva fórmula Pro-Vitaminas de Pantene","17719","16631","16519","94.74%","26.50%","33.32%","25.06","50.57%","12.64","188643.85","29.29%","90.47%"
"2017-02-02","09","","2192726405","Ace","743518472","Ace - NSP Menjurje - Feb17","161113984266","Máxima blancura solo con Ace","16493","16493","16493","92.83%","27.21%","38.68%","30.04","51.68%","15.18","222148.56","30.62%","88.88%"
"2017-02-02","11","","7216555334","Ariel","743523536","Ariel_Reto del ahorro_Feb17","153830640701","Reto del ahorro Ariel","16482","16482","16482","87.33%","24.23%","34.09%","21.74","52.18%","11.12","151714.07","31.37%","77.25%"
"2017-02-01","22","","112232052","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","17387","16621","16395","90.52%","24.98%","33.65%","18.76","54.22%","10.07","142479.1","30.70%","81.36%"
"2017-02-02","08","","7313193630","Pantene","743865246","Pantene - Colossus - Feb17","159601437509","Nueva fórmula Pro-Vitaminas de Pantene","16284","16284","16284","92.67%","22.57%","31.24%","25.06","47.88%","11.72","169675.68","26.29%","85.87%"
"2017-02-20","13","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","16908","16303","16260","91.84%","26.02%","41.37%","15.04","60.40%","9.04","131668.02","31.40%","82.87%"
"2017-02-03","10","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","15954","15954","15954","90.81%","26.22%","36.03%","20.12","54.20%","10.69","149037.03","31.58%","83.04%"
"2017-02-25","11","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","16610","15991","15940","92.74%","32.16%","44.96%","15.05","63.63%","9.6","138053.51","36.81%","87.35%"
"2017-02-20","12","","7313193630","Pantene","755691589","Pantene - 3MM Selena+Tag - Feb17","150366603992","Nuevo acondicionador 3 Minutes Miracle de Pantene","17196","15981","15927","87.52%","28.44%","34.24%","25.08","52.02%","12.97","173971.24","36.29%","78.37%"
"2017-02-28","11","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","16585","15895","15828","90.81%","29.90%","43.42%","15.06","62.87%","9.49","132235.05","36.07%","82.90%"
"2017-02-01","19","","145299609","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","16684","15875","15785","88.74%","28.65%","35.36%","20.07","55.47%","11.06","146694.11","36.29%","78.95%"
"2017-02-20","10","","7313193630","Pantene","755691589","Pantene - 3MM Selena+Tag - Feb17","150366603992","Nuevo acondicionador 3 Minutes Miracle de Pantene","17184","15845","15766","88.00%","29.77%","35.71%","25.08","53.37%","13.39","178601.92","37.52%","79.35%"
"2017-02-21","12","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","16513","15810","15761","91.10%","27.71%","42.43%","15.1","61.19%","9.14","127956.77","33.35%","83.08%"
"2017-02-20","13","","7313193630","Pantene","755691589","Pantene - 3MM Selena+Tag - Feb17","150366603992","Nuevo acondicionador 3 Minutes Miracle de Pantene","16680","15744","15699","89.99%","27.30%","33.80%","25.07","50.87%","12.71","173485.09","33.68%","81.05%"
"2017-02-03","00","","8916876391","Gillette","744262231","Gillette_Barza_Feb17","147214178592","Gillette Mach3 Turbo","15655","15655","15655","88.57%","30.74%","45.06%","15.86","63.66%","9.99","134137.1","38.64%","79.56%"
"2017-02-03","11","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","15469","15469","15469","90.68%","26.33%","36.49%","20.08","54.59%","10.75","144963.57","31.86%","82.65%"
"2017-02-02","08","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","15466","15466","15466","92.11%","30.54%","40.43%","20.14","57.08%","11.21","152298.63","35.16%","86.85%"
"2017-02-01","17","","145299609","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","16327","15810","15455","87.05%","27.23%","36.57%","15.04","59.76%","8.94","114375.43","36.03%","75.57%"
"2017-02-02","11","","9155314220","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","15304","15304","15304","89.36%","27.82%","37.88%","18.68","56.73%","10.36","135524.39","34.06%","81.69%"
"2017-02-22","10","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","15884","15275","15240","90.51%","27.77%","43.01%","15.04","61.59%","9.14","121740.84","33.80%","82.16%"
"2017-02-25","10","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","15844","15262","15228","91.82%","31.27%","44.52%","15.05","62.95%","9.51","126546.45","35.54%","88.00%"
"2017-02-23","20","","8916876391","Gillette","759878604","Gillette_PB3_Feb17","171057537529","Gillette Prestobarba3","15214","15212","15200","88.21%","31.88%","41.42%","20.03","61.24%","12.12","158767.99","39.14%","81.43%"
"2017-02-02","15","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","15161","15161","15161","88.67%","26.72%","36.40%","20.08","54.89%","10.83","139252.48","34.16%","78.22%"
"2017-02-02","09","","7216555334","Ariel","743523536","Ariel_Reto del ahorro_Feb17","153830640701","Reto del ahorro Ariel","14844","14844","14844","88.70%","24.75%","35.09%","21.76","52.77%","11.27","141207.41","31.22%","79.26%"
"2017-02-02","13","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","14807","14807","14807","91.58%","26.78%","37.51%","20.09","54.71%","10.78","139813.64","31.70%","84.45%"
"2017-02-02","14","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","14743","14743","14743","89.57%","26.13%","35.76%","20.13","54.36%","10.78","136145.6","32.23%","81.08%"
"2017-02-01","17","","195605731","Ace","743518472","Ace - NSP Menjurje - Feb17","161113984266","Máxima blancura solo con Ace","15585","14894","14706","91.38%","23.44%","32.22%","30.09","48.22%","14.45","186149.28","27.80%","84.31%"
"2017-02-02","09","","7313193630","Pantene","743865246","Pantene - Colossus - Feb17","159601437509","Nueva fórmula Pro-Vitaminas de Pantene","14566","14566","14566","90.06%","20.46%","28.85%","25.12","46.81%","11.49","143722.04","25.76%","79.42%"
"2017-02-28","12","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","15210","14579","14537","91.23%","29.82%","43.76%","15.07","62.92%","9.51","122516.52","35.39%","84.25%"
"2017-02-21","14","","7313193630","Pantene","755691589","Pantene - 3MM Selena+Tag - Feb17","150366603992","Nuevo acondicionador 3 Minutes Miracle de Pantene","15278","14570","14531","88.79%","23.89%","30.88%","25.06","48.74%","12.03","150457.16","30.88%","77.37%"
"2017-02-04","11","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","15196","14486","14417","92.41%","30.84%","38.34%","20.06","57.04%","11.33","145037.23","35.89%","85.94%"
"2017-02-02","16","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","14350","14350","14350","88.48%","26.68%","36.63%","20.15","54.81%","10.87","132430.27","34.28%","77.83%"
"2017-02-02","13","","9155314220","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","14349","14349","14349","91.16%","27.92%","39.98%","18.69","57.17%","10.49","131631.68","32.96%","84.70%"
"2017-02-28","10","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","15055","14372","14326","90.97%","29.27%","43.36%","15.06","62.58%","9.46","119806.41","34.93%","83.79%"
"2017-02-01","21","","145299609","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","15032","14376","14224","89.76%","27.77%","35.39%","20.06","55.00%","10.93","132523.74","34.25%","81.09%"
"2017-02-25","12","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","14705","14179","14151","92.66%","31.28%","44.28%","15.06","63.31%","9.52","121403.83","35.91%","87.09%"
"2017-02-21","14","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","14639","14124","14095","91.39%","25.54%","41.63%","15.05","60.07%","8.88","111400.53","31.06%","82.22%"
"2017-02-02","08","","3135035627","Oral B","743860470","Oral B - 3DW Concierto - Feb17","170597209600","Oral B 3D White","14072","14072","14072","92.25%","26.42%","41.19%","15.07","59.96%","8.81","109807.3","31.01%","85.18%"
"2017-02-22","09","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","14458","13910","13887","91.52%","28.49%","43.51%","15.04","61.92%","9.24","113587.73","34.28%","83.10%"
"2017-02-02","10","","9155314220","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","13883","13883","13883","88.80%","27.50%","37.86%","18.64","56.62%","10.29","121130.32","33.97%","80.95%"
"2017-02-23","23","","8916876391","Gillette","759878604","Gillette_PB3_Feb17","171057537529","Gillette Prestobarba3","14882","13823","13760","87.71%","31.63%","40.91%","20.01","60.50%","12.13","141850.05","40.25%","78.57%"
"2017-02-03","16","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","13718","13718","13718","89.99%","25.54%","34.95%","20.06","53.94%","10.61","126268.32","31.61%","80.79%"
"2017-02-24","11","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","14128","13726","13697","91.58%","29.61%","42.93%","15.06","62.41%","9.34","114168.8","34.86%","84.93%"
"2017-02-04","10","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","14376","13680","13526","92.48%","30.68%","38.29%","20.07","56.71%","11.33","135928.47","35.39%","86.67%"
"2017-02-08","13","","1162470087","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","14167","13637","13493","89.66%","27.05%","38.71%","15.11","59.46%","8.97","103554.47","34.05%","79.44%"
"2017-02-02","14","","9155314220","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","13466","13466","13466","89.58%","27.83%","37.37%","18.68","56.63%","10.4","120147.56","33.66%","82.68%"
"2017-02-02","12","","2192726405","Ace","743518472","Ace - NSP Menjurje - Feb17","161113984266","Máxima blancura solo con Ace","13365","13365","13365","90.70%","26.34%","38.02%","30.06","51.23%","15.14","175361.97","30.75%","85.66%"
"2017-02-22","11","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","13920","13394","13359","91.26%","27.53%","43.32%","15.04","61.47%","9.16","108599.73","33.12%","83.14%"
"2017-02-03","09","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","13336","13336","13336","91.45%","27.21%","37.15%","20.07","55.08%","10.82","126495.77","32.36%","84.09%"
"2017-02-01","22","","145299609","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","14235","13510","13313","90.00%","27.42%","35.38%","20.07","54.99%","10.94","124208.28","34.33%","79.85%"
"2017-02-28","17","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","13906","13285","13244","89.91%","27.99%","41.35%","15.05","61.63%","9.32","107923.79","34.58%","80.96%"
"2017-02-01","20","","145299609","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","13999","13361","13239","89.51%","28.13%","35.80%","20.07","55.31%","10.98","123266.06","34.64%","81.20%"
"2017-02-03","10","","7216555334","Ariel","743523536","Ariel_Reto del ahorro_Feb17","153830640701","Reto del ahorro Ariel","13176","13176","13176","88.01%","23.13%","32.92%","21.77","51.41%","11.01","121587.28","30.13%","76.75%"
"2017-02-08","12","","1162470087","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","13730","13197","13104","88.71%","26.68%","38.16%","15.06","59.52%","8.91","98303.75","34.66%","76.96%"
"2017-02-21","17","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","13589","13081","13044","89.81%","27.58%","42.22%","15.05","61.50%","9.2","104608.89","34.39%","80.20%"
"2017-02-28","18","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","13603","13073","13040","91.06%","28.11%","41.91%","15.05","61.56%","9.29","106227.13","34.30%","81.96%"
"2017-02-03","09","","3135035627","Oral B","743860470","Oral B - 3DW Concierto - Feb17","170597209600","Oral B 3D White","12992","12992","12992","90.36%","26.35%","40.05%","15.06","59.92%","8.85","100022.75","32.77%","80.41%"
"2017-02-01","19","","195605731","Ace","743518472","Ace - NSP Menjurje - Feb17","161113984266","Máxima blancura solo con Ace","13385","13046","12969","92.33%","26.99%","34.87%","30.03","50.41%","15.07","172391.95","31.25%","86.39%"
"2017-02-26","11","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","13556","13002","12959","93.75%","31.51%","45.59%","15.12","63.09%","9.57","112988.61","35.00%","90.04%"
"2017-02-28","16","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","13585","12976","12950","90.21%","26.90%","41.04%","15.09","61.13%","9.26","105213.4","33.65%","79.95%"
"2017-02-04","12","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","13577","13031","12882","92.25%","30.68%","38.50%","20.06","56.83%","11.33","129293.4","35.37%","86.75%"
"2017-02-27","19","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","13419","12876","12847","91.14%","29.15%","43.47%","15.07","62.36%","9.43","106819.16","35.08%","83.10%"
"2017-02-03","09","","2192726405","Ace","743518472","Ace - NSP Menjurje - Feb17","161113984266","Máxima blancura solo con Ace","12830","12830","12830","93.06%","24.69%","36.61%","30.04","49.53%","14.56","166744.01","28.26%","87.35%"
"2017-02-28","15","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","13346","12748","12714","90.83%","27.97%","42.38%","15.07","61.95%","9.35","105006.52","34.13%","81.94%"
"2017-02-28","20","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","13208","12693","12668","92.49%","27.94%","42.58%","15.05","61.45%","9.27","105081.43","33.05%","84.53%"
"2017-02-26","17","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","13195","12703","12661","92.66%","27.03%","41.35%","15.07","60.45%","9.07","102697.71","31.27%","86.42%"
"2017-02-24","10","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","12978","12678","12643","91.43%","28.99%","43.19%","15.04","62.73%","9.37","105638.74","34.50%","84.04%"
"2017-02-27","10","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","13346","12660","12624","91.30%","30.65%","44.00%","15.05","63.15%","9.55","107183.67","36.61%","83.74%"
"2017-02-03","11","","7216555334","Ariel","743523536","Ariel_Reto del ahorro_Feb17","153830640701","Reto del ahorro Ariel","12587","12587","12587","87.96%","23.43%","33.87%","21.76","51.81%","11.07","116893.88","30.34%","77.22%"
"2017-02-24","16","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","12849","12542","12513","90.65%","27.95%","40.84%","15.05","61.71%","9.26","102441","34.43%","81.18%"
"2017-02-26","12","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","13011","12538","12505","93.88%","31.49%","44.86%","15.05","63.18%","9.51","108531.9","34.90%","90.24%"
"2017-02-09","11","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","13176","12575","12504","89.01%","28.34%","35.15%","20.06","55.36%","11.06","118118.11","35.89%","78.96%"
"2017-02-22","18","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","12938","12505","12474","90.65%","27.65%","40.50%","15.05","61.31%","9.25","101631.67","34.02%","81.28%"
"2017-02-02","15","","9155314220","Downy","743824032","Downy_Freshly Dressed_Feb17","167943633001","Downy libre enjuague","12350","12350","12350","88.40%","28.22%","38.27%","18.74","57.25%","10.53","110358.72","35.28%","79.99%"
"2017-02-02","10","","1162470087","Head & Shoulders","743859324","H&S_Efficacy 3 Action+Tag_Feb17","163159824439","Conoce el nuevo H&S 3 Action","12335","12335","12335","88.90%","34.51%","47.94%","15.06","65.02%","9.59","101123.68","41.39%","83.37%"
"2017-02-27","20","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","12880","12340","12310","91.03%","27.38%","41.17%","15.06","61.09%","9.25","100728.06","33.24%","82.37%"
"2017-02-24","15","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","12608","12324","12298","91.00%","26.26%","41.12%","15.04","60.71%","9.08","98085.23","31.78%","82.61%"
"2017-02-03","15","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","12292","12292","12292","90.50%","24.21%","33.36%","20.06","52.78%","10.36","111028.72","30.11%","80.39%"
"2017-02-01","18","","145299609","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","12965","12464","12270","88.60%","29.20%","36.30%","20.14","56.00%","11.19","115548.47","37.29%","78.28%"
"2017-02-01","22","","131904867","Pantene","743864079","Pantene - 3MM Selena - Feb17","166967409834","Nuevo acondicionador 3 Minutes Miracle de Pantene","12789","12381","12235","90.52%","22.27%","27.39%","30.11","44.53%","13.26","139873.99","27.79%","80.14%"
"2017-02-21","16","","4006607397","Ayudín","755681911","Ayudin_Reto de la limpieza_Feb17","173746508360","Ayudín Líquido rinde x3","12778","12230","12200","89.63%","27.44%","41.30%","15.05","61.35%","9.21","97704.13","34.54%","79.44%"
"2017-02-03","12","","1162470087","Head & Shoulders","743453467","H&S_Surprise_Feb17","154289662443","Prueba el nuevo H&S 3 Action","12167","12167","12167","90.67%","26.55%","36.51%","20.06","54.70%","10.77","113810.72","32.28%","82.25%"
